Date,Close
"Nov 04, 2014",1.2676
"Nov 03, 2014",1.2675
"Oct 31, 2014",1.2684
"Oct 30, 2014",1.2687
"Oct 29, 2014",1.2683
"Oct 28, 2014",1.2690
"Oct 27, 2014",1.2683
"Oct 24, 2014",1.2682
"Oct 23, 2014",1.2676
"Oct 22, 2014",1.2673
"Oct 21, 2014",1.2674
"Oct 20, 2014",1.2667
"Oct 17, 2014",1.2669
"Oct 16, 2014",1.2662
"Oct 15, 2014",1.2663
"Oct 14, 2014",1.2664
"Oct 13, 2014",1.2664
"Oct 10, 2014",1.2663
"Oct 09, 2014",1.2650
"Oct 08, 2014",1.2637
"Oct 07, 2014",1.2630
"Oct 06, 2014",1.2625
"Oct 03, 2014",1.2643
"Oct 02, 2014",1.2645
"Oct 01, 2014",1.2647
"Sep 30, 2014",1.2648
"Sep 29, 2014",1.2628
"Sep 26, 2014",1.2660
"Sep 25, 2014",1.2636
"Sep 24, 2014",1.2633
"Sep 23, 2014",1.2636
"Sep 22, 2014",1.2624
"Sep 19, 2014",1.2619
"Sep 18, 2014",1.2623
"Sep 17, 2014",1.2633
"Sep 16, 2014",1.2626
"Sep 15, 2014",1.2619
"Sep 12, 2014",1.2633
"Sep 11, 2014",1.2642
"Sep 10, 2014",1.2641
"Sep 09, 2014",1.2632
"Sep 08, 2014",1.2618
"Sep 05, 2014",1.2621
"Sep 04, 2014",1.2626
"Sep 03, 2014",1.2618
"Sep 02, 2014",1.2606
"Sep 01, 2014",1.2620
"Aug 29, 2014",1.2608
"Aug 28, 2014",1.2615
"Aug 27, 2014",1.2615
"Aug 26, 2014",1.2595
"Aug 25, 2014",1.2592
"Aug 22, 2014",1.2595
"Aug 21, 2014",1.2596
"Aug 20, 2014",1.2624
"Aug 19, 2014",1.2622
"Aug 18, 2014",1.2614
"Aug 15, 2014",1.2611
"Aug 14, 2014",1.2597
"Aug 13, 2014",1.2596
"Aug 12, 2014",1.2585
"Aug 11, 2014",1.2595
